"0.6-1,10",招若干人,无工作经验,工装夹具设计工程师,上海
"6-8,1",本科,无工作经验,机械工程师应届生,上海-闵行区
"0.6-2,10",本科,无工作经验,机械/研发工程师,上海-松江区
"4.5-5.5,1",中专,1年经验,机械（工艺）设计工程师（临港）,上海
"6-8,1",大专,2年经验,机械设计工程师,上海-奉贤区
"0.8-1,10",招1人,无工作经验,急聘：机械工程师（需四氯乙烯开发经验）,上海-宝山区
"1-1.5,10",本科,8-9年经验,机械设计工程师,上海-浦东新区
"20-30,0.8",本科,3-4年经验,机械工程师,上海-嘉定区
"0.9-1.5,10",硕士,2年经验,机械设计工程师,上海
"2-2.5,10",本科,8-9年经验,机械设计主管,上海-松江区
"4.5-6,1",中技,1年经验,机械装配工,上海
"1.5-2,10",本科,8-9年经验,精密机械设计工程师,上海-浦东新区
"4-8,1",招若干人,无工作经验,机械加工工艺绘图员,上海-奉贤区
"0.8-1.2,10",本科,1年经验,机械工程师,上海-闵行区
"1-1.5,10",本科,5-7年经验,机械工程师,上海-浦东新区
"0.9-1.1,10",本科,2年经验,项目设备机械工程师,上海-闵行区
"15-20,0.8",本科,3-4年经验,机械维修工程师,上海-青浦区
"4.5-6,1",大专,2年经验,机械设计助理,上海-浦东新区
"6-8,1",大专,2年经验,自动化机械工程师,上海-奉贤区
"6-8,1",大专,无工作经验,机械设计员,上海-嘉定区
"1.2-3,10",招2人,无工作经验,机械结构工程师,上海-虹口区
"1-2,10",大专,3-4年经验,机械工程师(职位编号：080102001),上海-松江区
"0.6-1.2,10",本科,无工作经验,机械研发工程师,上海
"1-1.5,10",大专,5-7年经验,钣金设计师结构设计师机械工程师,上海
"0.6-1.2,10",招若干人,3-4年经验,机械设计工程师（传统五金）,上海-闵行区
"0.8-1,10",本科,2年经验,机械设计工程师（设备应用）,上海-青浦区
"5-8,1",本科,无工作经验,机械工程师,上海-青浦区
"6-9,1",大专,2年经验,机械设计工程师,上海-松江区
"4.5-6,1",大专,5-7年经验,机械工程师,上海-青浦区
"4-4.5,1",大专,3-4年经验,机械检验员,上海-松江区
"15-30,0.8",本科,1年经验,机械系统强度-工程师/助理工程师,上海
"0.6-2,10",本科,无工作经验,非标机械设计师（会日语）,上海-松江区
"4-6,1",大专,无工作经验,机械工程师,上海-长宁区
"0.6-1,10",中专,1年经验,NIKKISO机械销售工程师,上海-长宁区
"0.8-1.2,10",本科,3-4年经验,烟气脱硫设备/机械工程师,上海-杨浦区
"1-1.5,10",招1人,2年经验,机械设计工程师-配液产品线,上海
"0.8-1.5,10",本科,3-4年经验,机械设计工程师,上海-浦东新区
"0.8-1.1,10",大专,3-4年经验,机械工艺工程师,上海-闵行区
"1-1.5,10",招若干人,无工作经验,机械结构设计-上海嘉定区,上海-嘉定区
"0.6-1.5,10",大专,1年经验,机械设计工程师,上海-松江区
"0.8-1,10",大专,3-4年经验,机械设计工程师,上海-浦东新区
"0.8-1,10",大专,2年经验,机械设计工程师,上海-闵行区
"0.6-1,10",本科,无工作经验,机械设计助理,上海-闵行区
"40-50,0.8",本科,5-7年经验,机械设计工程师,上海-嘉定区
"8-10,0.8",大专,3-4年经验,机械技师,上海-徐汇区
"6-8,1",本科,3-4年经验,机械结构工程师,上海-嘉定区
"6-8,1",大专,2年经验,机械设计工程师,上海-奉贤区
"6-8,1",招若干人,无工作经验,机械技师,上海
"6-8,1",中专,3-4年经验,机械结构工程师,上海-奉贤区
"1-1.5,10",大专,5-7年经验,机械设计工程师,上海-青浦区
"0.8-1.5,10",本科,5-7年经验,Machineryengineer机械工程师,上海-闵行区
"6-8,1",大专,3-4年经验,自动化机械结构设计工程师/绘图员,上海-松江区
"10-15,0.8",招若干人,无工作经验,专机设计机械工程（校招）,上海
"4.5-6,1",中技,1年经验,机械质检员,上海-宝山区
"0.8-1,10",本科,无工作经验,研发工程师-机械类,上海-青浦区
"10-15,0.8",招2人,无工作经验,机械工程师液压、润滑系统设计,上海-闵行区
"6-8,1",大专,3-4年经验,机械设计工程师,上海-浦东新区
"0.6-1.5,10",本科,2年经验,机械绘图员,上海-奉贤区
"0.8-1,10",大专,5-7年经验,机械工程师,上海-浦东新区
"1-1.5,10",本科,3-4年经验,机械工程师,上海-杨浦区
"4-5,1",大专,1年经验,机械销售、泵销售、电气销售、仪器仪表销售,上海
"0.8-1,10",招2人,2年经验,机械设计工程师,上海-闵行区
"1-2.5,10",本科,2年经验,（医疗器械）机械研发工程师,上海
"4-6,1",大专,1年经验,销售经理-（机械）,上海-闵行区
"1-1.5,10",初中及以下,无工作经验,机械设备业务代表,上海-嘉定区
"0.8-1,10",本科,3-4年经验,机械工程师-传送带,上海-松江区
"20-30,0.8",招1人,无工作经验,厂务机械科科长,上海-浦东新区
"1-1.5,10",大专,5-7年经验,机械设计工程师(非标自动化）,上海-松江区
"0.6-1,10",招1人,无工作经验,机械工程师,上海-浦东新区
"0.6-1.5,10",大专,2年经验,机械工程师,上海-松江区
"4.5-6,1",大专,无工作经验,机械工程师,上海-嘉定区
"10-15,0.8",大专,3-4年经验,机械销售工程师,上海-松江区
"4-6,1",大专,1年经验,机械设计工程师,上海-闵行区
"4.5-6,1",本科,2年经验,机械绘图员(职位编号：016),上海-松江区
"4.5-6,1",中技,2年经验,机械装配工程师,上海
"6-8,1",大专,1年经验,机械工程师,上海-金山区
"1-1.5,10",大专,3-4年经验,非标机械设计师,上海-松江区
"5.5-6.5,1",大专,无工作经验,机械绘图员,上海-奉贤区
"0.8-1,10",本科,5-7年经验,自动化机械设备设计工程师（汽车零部件行业）,上海-浦东新区
"0.8-1.2,10",大专,3-4年经验,机械设计工程师,上海-松江区
"0.8-1,10",招1人,无工作经验,机械工程师,上海-松江区
"0.8-1.2,10",本科,3-4年经验,机械设计工程师,上海-松江区
"8-10,0.8",大专,10年以上经验,机械设计,上海-浦东新区
"0.5-1,10",高中,1年经验,机械钣金设计CAD,上海-松江区
"1-1.5,10",本科,5-7年经验,高级机械工程师,上海-闵行区
"4.5-6,1",高中,3-4年经验,机械检验员,上海-闵行区
"0.6-1.5,10",本科,3-4年经验,机械设计工程师,上海
"0.8-1.2,10",大专,3-4年经验,机械研发工程师,上海-黄浦区
"1-2,10",本科,无工作经验,急聘高级研发工程师/机械设计师,上海-浦东新区
"4-6.5,1",大专,1年经验,机械绘图员,上海-金山区
"6-8,1",大专,3-4年经验,机械工程师,上海-闵行区
"0.8-2.5,10",大专,3-4年经验,机械设计工程师-非标,上海-嘉定区
"0.5-1,10",本科,无工作经验,机械设计（技术部）,上海-松江区
"0.4-1.5,10",大专,1年经验,机械配件销售专员,上海-浦东新区
"0.7-1.5,10",大专,5-7年经验,机械工程师,上海-奉贤区
"5-7,1",本科,无工作经验,机械制图设计员,上海-徐汇区
